EntrezSymbol	OriginalName	EntrezID	EntrezDescription
TCF4	TCF4	6925	transcription factor 4
POU5F1	POU5F1	5460	POU class 5 homeobox 1
FOXP2	FOXP2	93986	forkhead box P2
HMGN3	HMGN3	9324	high mobility group nucleosomal binding domain 3
TBP	TBP	6908	TATA box binding protein
RAD21	Rad21	5885	RAD21 homolog (S. pombe)
ZNF143	Znf143	7702	zinc finger protein 143
EP300	p300	2033	E1A binding protein p300
NRF1	Nrf1	4899	nuclear respiratory factor 1
SIN3A	Sin3Ak-20	25942	SIN3 homolog A, transcription regulator (yeast)
TFAP2C	AP-2gamma	7022	transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)
BATF	BATF	10538	basic leucine zipper transcription factor, ATF-like
ZEB1	ZEB1	6935	zinc finger E-box binding homeobox 1
RFX5	RFX5	5993	regulatory factor X, 5 (influences HLA class II expression)
MEF2A	MEF2A	4205	myocyte enhancer factor 2A
MAX	Max	4149	MYC associated factor X
CTBP2	CtBP2	1488	C-terminal binding protein 2
HSF1	HSF1	3297	heat shock transcription factor 1
SIRT6	SIRT6	51548	sirtuin 6
BCLAF1	BCLAF1	9774	BCL2-associated transcription factor 1
MAFF	MafF	23764	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)
POLR3G	Pol3	10622	polymerase (RNA) III (DNA directed) polypeptide G (32kD)
MXI1	Mxi1	4601	MAX interactor 1
ELK4	ELK4	2005	ELK4, ETS-domain protein (SRF accessory protein 1)
SREBF1	SREBP1	6720	sterol regulatory element binding transcription factor 1
EGR1	Egr-1	1958	early growth response 1
USF2	USF2	7392	upstream transcription factor 2, c-fos interacting
CEBPB	CEBPB	1051	CCAAT/enhancer binding protein (C/EBP), beta
BCL3	BCL3	602	B-cell CLL/lymphoma 3
ELF1	ELF1	1997	E74-like factor 1 (ets domain transcription factor)
POLR3A	RPC155	11128	polymerase (RNA) III (DNA directed) polypeptide A, 155kDa
GABPA	GABP	2551	GA binding protein transcription factor, alpha subunit 60kDa
SP1	SP1	6667	Sp1 transcription factor
HEY1	HEY1	23462	hairy/enhancer-of-split related with YRPW motif 1
PBX3	Pbx3	5090	pre-B-cell leukemia homeobox 3
NFKB1	NFKB	4790	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1
TRIM28	KAP1	10155	tripartite motif containing 28
ZBTB33	ZBTB33	10009	zinc finger and BTB domain containing 33
GATA1	GATA1	2623	GATA binding protein 1 (globin transcription factor 1)
IRF1	IRF1	3659	interferon regulatory factor 1
PRDM1	PRDM1	639	PR domain containing 1, with ZNF domain
NFE2	NF-E2	4778	nuclear factor (erythroid-derived 2), 45kDa
SMARCC1	BAF155	6599	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1
GTF2F1	GTF2F1	2962	general transcription factor IIF, polypeptide 1, 74kDa
USF1	USF1	7391	upstream transcription factor 1
TAF1	TAF1	6872	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa
TAL1	TAL1	6886	T-cell acute lymphocytic leukemia 1
IRF3	IRF3	3661	interferon regulatory factor 3
EBF1	EBF1	1879	early B-cell factor 1
NFYB	NF-YB	4801	nuclear transcription factor Y, beta
E2F1	E2F1	1869	E2F transcription factor 1
CCNT2	CCNT2	905	cyclin T2
THAP1	THAP1	55145	THAP domain containing, apoptosis associated protein 1
SMARCA4	Brg1	6597	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
SMARCC2	BAF170	6601	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2
GATA3	GATA3	2625	GATA binding protein 3
JUND	JunD	3727	jun D proto-oncogene
HNF4G	HNF4G	3174	hepatocyte nuclear factor 4, gamma
MEF2C	MEF2C	4208	myocyte enhancer factor 2C
CHD2	CHD2	1106	chromodomain helicase DNA binding protein 2
NANOG	NANOG	79923	Nanog homeobox
NFYA	NF-YA	4800	nuclear transcription factor Y, alpha
SP2	SP2	6668	Sp2 transcription factor
E2F4	E2F4	1874	E2F transcription factor 4, p107/p130-binding
ZBTB7A	ZBTB7A	51341	zinc finger and BTB domain containing 7A
BRF2	BRF2	55290	BRF2, subunit of RNA polymerase III transcription initiation factor, BRF1-like
FOXA1	FOXA1	3169	forkhead box A1
XRCC4	XRCC4	7518	X-ray repair complementing defective repair in Chinese hamster cells 4
BCL11A	BCL11A	53335	B-cell CLL/lymphoma 11A (zinc finger protein)
HDAC2	HDAC2	3066	histone deacetylase 2
POLR2A	Pol2	5430	polymerase (RNA) II (DNA directed) polypeptide A, 220kDa
WRNIP1	WHIP	56897	Werner helicase interacting protein 1
BRF1	BRF1	2972	BRF1 homolog, subunit of RNA polymerase III transcription initiation factor IIIB (S. cerevisiae)
TAF7	TAF7	6879	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa
TFAP2A	AP-2alpha	7020	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)
