Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
10270	AKAP8	A kinase (PRKA) anchor protein 8	NM_005858	NP_005849.1	ENSG00000105127	chr19:15326725 - 15351542	condensed chromosome;DNA binding;female pronucleus;intracellular;membrane;metal ion binding;mitosis;mitotic chromosome condensation;nucleus;protein kinase A binding;signal transduction;sugar porter activity;transport;zinc ion binding	TNF_alpha_NF_kB,  Protein Kinase
207	AKT1	v-akt murine thymoma viral oncogene homolog 1	NM_001014431	NP_005154.2	ENSG00000142208	chr14:104307722 - 104330025	anagen;apoptosis;apoptotic mitochondrial changes;ATP binding;carbohydrate metabolic process;cytoplasm;G-protein coupled receptor protein signaling pathway;germ cell development;glucose metabolic process;glucose transport;glycogen biosynthetic process;identical protein binding;inflammatory response;insulin receptor signaling pathway;insulin-like growth factor receptor signaling pathway;lamellipodium;nitric oxide biosynthetic process;nucleotide binding;nucleus;peptidyl-serine phosphorylation;protein amino aci	Alpha6Beta4 Integrin,  Androgen Receptor,  EGFR1,  Kit Receptor,  TNF_alpha_NF_kB,  Wnt,  Hahn and Weinberg 2002,  Protein Kinase,  Stability,  Tumor Suppressor,  Entrez Query:Oncogene
84335	AKT1S1	AKT1 substrate 1 (proline-rich)	NM_001098633	NP_115751.2	ENSG00000104951	chr19:55064985 - 55068364	cytosolic part;neuroprotection;regulation of survival gene product activity	Protein Kinase
208	AKT2	v-akt murine thymoma viral oncogene homolog 2	NM_001626	NP_001617.1	ENSG00000105221	chr19:45431618 - 45463014	ATP binding;lamellipodium;nucleotide binding;protein amino acid phosphorylation;protein binding;protein modification process;protein serine/threonine kinase activity;regulation of JNK cascade;transferase activity	TNF_alpha_NF_kB,  Futreal et al 2004,  Vogelstein and Kinzler 2004,  Protein Kinase,  Entrez Query:Oncogene,  Amplification
10000	AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	NM_005465, NM_181690	NP_005456.1, NP_859029.1	ENSG00000117020	chr1:241735173 - 242073095	ATP binding;nucleotide binding;protein amino acid phosphorylation;protein binding;protein serine/threonine kinase activity;signal transduction;transferase activity	Protein Kinase,  Entrez Query:Oncogene
238	ALK	anaplastic lymphoma kinase (Ki-1)	NM_004304	NP_004295.2	ENSG00000171094	chr2:29269593 - 29997029	ATP binding;brain development;integral to plasma membrane;membrane;nervous system development;nucleotide binding;protein amino acid N-linked glycosylation;protein amino acid phosphorylation;receptor activity;receptor signaling protein tyrosine kinase activity;transferase activity;transmembrane receptor protein tyrosine kinase activity;transmembrane receptor protein tyrosine kinase signaling pathway	Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Protein Kinase,  Tyrosine Kinase,  Translocation
80216	ALPK1	alpha-kinase 1	NM_025144	NP_079420.3	ENSG00000073331	chr4:113518382 - 113581815	ATP binding;kinase activity;protein amino acid phosphorylation;protein serine/threonine kinase activity;transferase activity	Protein Kinase
115701	ALPK2	alpha-kinase 2	NM_052947	NP_443179.3	ENSG00000198796	chr18:54300034 - 54430009	ATP binding;kinase activity;penicillin binding;protein amino acid phosphorylation;protein serine/threonine kinase activity;transferase activity	Protein Kinase
57538	ALPK3	alpha-kinase 3	NM_020778	NP_065829.3	ENSG00000136383	chr15:83161081 - 83212691	ATP binding;heart development;kinase activity;nucleus;protein amino acid phosphorylation;protein serine/threonine kinase activity;transferase activity	Protein Kinase
57679	ALS2	amyotrophic lateral sclerosis 2 (juvenile)	NM_020919	NP_065970.2	ENSG00000003393	chr2:202274818 - 202341853	behavioral fear response;centrosome;cytosol;early endosome;endosome organization and biogenesis;guanyl-nucleotide exchange factor activity;intracellular;locomotory behavior;protein binding;Rab guanyl-nucleotide exchange factor activity;Ran guanyl-nucleotide exchange factor activity;regulation of Rho protein signal transduction;response to oxidative stress;Rho guanyl-nucleotide exchange factor activity;vesicular fraction	Protein Kinase,  Stability
269	AMHR2	anti-Mullerian hormone receptor, type II	NM_020547	NP_065434.1	ENSG00000135409	chr12:52103985 - 52111524	ATP binding;hormone binding;integral to membrane;magnesium ion binding;manganese ion binding;membrane;Mullerian duct regression;nucleotide binding;protein amino acid phosphorylation;protein kinase activity;protein serine/threonine kinase activity;receptor activity;sex determination;sex differentiation;signal transduction;transferase activity;transmembrane receptor protein serine/threonine kinase signaling protein activity	Protein Kinase
29882	ANAPC2	anaphase promoting complex subunit 2	NM_013366	NP_037498.1	ENSG00000176248	chr9:139189214 - 139202805	cell cycle;cell division;cyclin catabolic process;G1 phase of mitotic cell cycle;mitosis;regulation of cyclin-dependent protein kinase activity;ubiquitin cycle;ubiquitin-dependent protein catabolic process;ubiquitin-protein ligase activity	TGFBR,  Protein Kinase
283	ANG	angiogenin, ribonuclease, RNase A family, 5	NM_001145	NP_001136.1	ENSG00000181784	chr14:20231563 - 20232007	actin binding;actin filament polymerization;activation of phospholipase A2;angiogenesis;angiogenin-PRI complex;basal lamina;cell communication;cell differentiation;copper ion binding;diacylglycerol biosynthetic process;DNA binding;endonuclease activity;extracellular space;heparin binding;homeostatic process;hydrolase activity;multicellular organismal development;negative regulation of protein biosynthetic process;negative regulation of smooth muscle cell proliferation;nucleolus;nucleus;ovarian follicle deve	Protein Kinase
284	ANGPT1	angiopoietin 1	NM_001146	NP_001137.2	ENSG00000154188	chr8:108333258 - 108578962	angiogenesis;cell differentiation;multicellular organismal development;receptor binding;signal transduction;transmembrane receptor protein tyrosine kinase signaling pathway	Protein Kinase,  Stability
51378	ANGPT4	angiopoietin 4	NM_015985	NP_057069.1	ENSG00000101280	chr20:801602 - 844857	biological_process;receptor binding;signal transduction;transmembrane receptor protein tyrosine kinase activator activity	Protein Kinase
9068	ANGPTL1	angiopoietin-like 1	NM_004673	NP_004664.1	ENSG00000116194	chr1:177086886 - 177101534	extracellular space;receptor binding;signal transduction;transmembrane receptor protein tyrosine kinase signaling pathway	Protein Kinase
255239	ANKK1	ankyrin repeat and kinase domain containing 1	NM_178510	NP_848605.1	ENSG00000170209	chr11:112763816 - 112776199	ATP binding;nucleotide binding;protein amino acid phosphorylation;protein serine/threonine kinase activity;transferase activity	Protein Kinase
308	ANXA5	annexin A5	NM_001154	NP_001145.1	ENSG00000164111	chr4:122809072 - 122837194	anti-apoptosis;blood coagulation;calcium ion binding;calcium-dependent phospholipid binding;cytoplasm;intracellular;negative regulation of coagulation;phospholipase inhibitor activity;protein binding;signal transduction	Protein Kinase
324	APC	adenomatosis polyposis coli	NM_001127511, NM_001127510	NP_001120983.1, NP_001120982.1	ENSG00000134982	chr5:112118486 - 112207722	anterior/posterior pattern formation;axis specification;beta-catenin binding;beta-catenin destruction complex;cell adhesion;cell cycle;cell cycle arrest;centrosome;cytoplasm;dorsal/ventral pattern formation;kinetochore;lateral plasma membrane;microtubule binding;negative regulation of cell proliferation;negative regulation of cyclin-dependent protein kinase activity;negative regulation of microtubule depolymerization;nucleus;protein complex assembly;protein kinase binding;protein kinase CK2 regulator activi	Futreal et al 2004,  Hahn and Weinberg 2002,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability,  Tumor Suppressor,  Frameshift mutation,  Large deletion,  Missense mutation,  Nonsense mutation,  Splicing mutation
26060	APPL1	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1	NM_012096	NP_036228.1	ENSG00000157500	chr3:57236951 - 57278755	cell cycle;cell proliferation;cytoplasm;endosome membrane;membrane;nucleus;NuRD complex;protein binding;signal transduction	Androgen Receptor,  EGFR1,  Protein Kinase
472	ATM	ataxia telangiectasia mutated (includes complementation groups A, C and D)	NM_138292, NM_000051	NP_612149.1, NP_000042.3	ENSG00000149311	chr11:107603561 - 107741445	1-phosphatidylinositol-3-kinase activity;cell cycle;DNA binding;DNA repair;meiotic recombination;mitotic spindle checkpoint;negative regulation of progression through cell cycle;nucleus;protein N-terminus binding;protein serine/threonine kinase activity;response to ionizing radiation;signal transduction;transferase activity	Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability,  Tumor Suppressor,  Frameshift mutation,  Large deletion,  Missense mutation,  Nonsense mutation,  Splicing mutation
545	ATR	ataxia telangiectasia and Rad3 related	NM_001184	NP_001175.2	ENSG00000175054	chr3:143650960 - 143780236	cell cycle;cell cycle checkpoint;chromosome;DNA binding;DNA repair;manganese ion binding;multicellular organismal development;MutLalpha complex binding;MutSalpha complex binding;nucleus;phosphotransferase activity, alcohol group as acceptor;protein binding;protein serine/threonine kinase activity;transferase activity	Protein Kinase,  Stability,  Tumor Suppressor
84126	ATRIP	-	NM_130384, NM_032166	NP_569055.1, NP_115542.2	null	chr3:48463253 - 48481957		Protein Kinase,  Stability
6795	AURKC	aurora kinase C	NM_001015879, NM_003160	NP_001015879.1, NP_003151.2	ENSG00000105146	chr19:62434428 - 62438597	ATP binding;cell cycle;centrosome;cytokinesis;nucleotide binding;nucleus;protein amino acid phosphorylation;protein serine/threonine kinase activity;transferase activity	Protein Kinase
552	AVPR1A	arginine vasopressin receptor 1A	NM_000706	NP_000697.1	ENSG00000166148	chr12:61827405 - 61830883	circulation;elevation of cytosolic calcium ion concentration;endosome;G-protein coupled receptor protein signaling pathway;generation of precursor metabolites and energy;integral to plasma membrane;phospholipase C activation;plasma membrane;protein kinase C binding;receptor activity;rhodopsin-like receptor activity;signal transduction;vasopressin receptor activity	Protein Kinase
553	AVPR1B	arginine vasopressin receptor 1B	NM_000707	NP_000698.1	ENSG00000198049	chr1:204391063 - 204397765	elevation of cytosolic calcium ion concentration;endosome;G-protein coupled receptor protein signaling pathway;integral to plasma membrane;phospholipase C activation;plasma membrane;protein kinase C binding;receptor activity;rhodopsin-like receptor activity;signal transduction;vasopressin receptor activity	Protein Kinase
8313	AXIN2	axin 2 (conductin, axil)	NM_004655	NP_004646.3	ENSG00000168646	chr17:60956555 - 60985200	intracellular;multicellular organismal development;nucleus;signal transducer activity;signal transduction;Wnt receptor signaling pathway	TGFBR,  Wnt,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability
558	AXL	AXL receptor tyrosine kinase	NM_001699, NM_021913	NP_001690.2, NP_068713.2	ENSG00000167601	chr19:46417137 - 46457649	ATP binding;integral to plasma membrane;membrane;nucleotide binding;protein amino acid phosphorylation;receptor activity;regulation of progression through cell cycle;signal transduction;transferase activity;transmembrane receptor protein tyrosine kinase activity	Protein Kinase,  Tyrosine Kinase,  Entrez Query:Oncogene
